C000001_cs_000	Zaměstnanci v ozbrojených silách
C002441_cs_000	sociální pracovník v oblasti armády/sociální pracovnice v oblasti armády
C002441_cs_001	sociální pracovnice v oblasti armády
C002441_cs_002	sociální pracovník v oblasti armády
C002442_cs_000	systémový konfigurátor/systémová konfigurátorka
C002442_cs_001	konfigurátor systémů
C002442_cs_002	konfigurátorka systémů
C002442_cs_003	systémová konfigurátorka
C002442_cs_004	systémová vývojářka
C002442_cs_005	systémový konfigurátor
C002442_cs_006	systémový vývojář
C002442_cs_007	vývojář systémů
C002442_cs_008	vývojářka systémů
C002443_cs_000	mechanik pneuservisu/mechanička pneuservisu
C002443_cs_001	mechanik pneuservisu
C002443_cs_002	mechanička pneuservisu
C002444_cs_000	technik poprodejních služeb/technička poprodejních služeb
C002444_cs_001	technik poprodejních služeb
C002444_cs_002	technička poprodejních služeb
C002445_cs_000	referent pro zemědělskou politiku/referentka pro zemědělskou politiku
C002445_cs_001	referent pro zemědělskou politiku
C002445_cs_002	referentka pro zemědělskou politiku
C002445_cs_003	zemědělská referentka
C002445_cs_004	zemědělský referent
C002446_cs_000	vedoucí prodejny tiskovin a kancelářských potřeb
C002447_cs_000	velkoobchodník s obráběcími stroji/velkoobchodnice s obráběcími stroji
C002447_cs_001	velkoobchodnice s obráběcími stroji
C002447_cs_002	velkoobchodník s obráběcími stroji
C002448_cs_000	přednášející v oboru potravinářské vědy
C002448_cs_001	profesor v oboru potravinářské vědy
C002448_cs_002	profesorka v oboru potravinářské vědy
C002448_cs_003	přednášející v oboru potravinářských věd
C002448_cs_004	přednášející v potravinářských věd a výživy
C002448_cs_005	učitel potravinářských věd
C002448_cs_006	učitelka potravinářských věd
C002449_cs_000	obsluha strojů na výrobu betonových bloků
C002449_cs_001	operátor zařízení na výrobu betonových bloků
C002450_cs_000	pracovník pro odstraňování azbestu/pracovnice pro odstraňování azbestu
C002450_cs_001	pracovnice pro odstraňování azbestu
C002450_cs_002	pracovník pro odstraňování azbestu
C002451_cs_000	ekonom/ekonomka
C002451_cs_001	ekonom
C002451_cs_002	ekonomka
C002451_cs_003	makroanalytik
C002451_cs_004	makroanalytička
C002452_cs_000	inženýr v oboru přesná mechanika/inženýrka v oboru přesná mechanika
C002452_cs_001	inženýr v oboru přesná mechanika
C002452_cs_002	inženýrka v oboru přesná mechanika
C002452_cs_003	konzultant v oboru přesná mechanika
C002452_cs_004	konzultantka v oboru přesná mechanika
C002452_cs_005	nanotechnolog
C002452_cs_006	nanotechnoložka
C002453_cs_000	manažer provozu letiště/manažerka provozu letiště
C002453_cs_001	manažer provozu letiště
C002453_cs_002	manažerka provozu letiště
C002453_cs_003	ředitel letiště
C002453_cs_004	ředitelka letiště
C002454_cs_000	obsluha sklářské chladící pece
C002455_cs_000	technik řízení jakosti/technička řízení jakosti
C002455_cs_001	kontrolor kvality
C002455_cs_002	kontrolorka kvality
C002455_cs_003	technik řízení jakosti
C002455_cs_004	technička řízení jakosti
C002456_cs_000	skript/skriptka
C002456_cs_001	asistent režie
C002456_cs_002	asistentka režie
C002456_cs_003	skript
C002456_cs_004	skriptka
C002457_cs_000	specialista zahraničního obchodu v oblasti nábytku, koberců a svítidel/specialistka zahraničního obchodu v oblasti nábytku, koberců a svítidel
C002457_cs_001	specialista zahraničního obchodu v oblasti nábytku, koberců a svítidel
C002457_cs_002	specialistka zahraničního obchodu v oblasti nábytku, koberců a svítidel
C002458_cs_000	veterinární technik/veterinární technička
C002458_cs_001	asistent zvěrolékaře
C002458_cs_002	asistentka zvěrolékaře
C002458_cs_003	veterinární asistent
C002458_cs_004	veterinární asistentka
C002458_cs_005	veterinární technik
C002458_cs_006	veterinární technička
C002459_cs_000	manažer odpadového hospodářství/manažerka odpadového hospodářství
C002459_cs_001	manažer odpadového hospodářství
C002459_cs_002	manažerka odpadového hospodářství
C002460_cs_000	tlumočník znakové řeči/tlumočnice znakové řeči
C002460_cs_001	tlumočnice znakové řeči
C002460_cs_002	tlumočník znakové řeči
C002461_cs_000	koordinátor speciálních vzdělávacích potřeb/koordinátorka speciálních vzdělávacích potřeb
C002461_cs_001	koordinátor speciálních vzdělávacích potřeb
C002461_cs_002	koordinátorka speciálních vzdělávacích potřeb
C002462_cs_000	administrativní pracovník pojišťovny/administrativní pracovnice pojišťovny
C002462_cs_001	administrativní pracovnice pojišťovny
C002462_cs_002	administrativní pracovník pojišťovny
C002463_cs_000	letecký pilot/letecká pilotka
C002463_cs_001	letecká pilotka
C002463_cs_002	letecký pilot
C002464_cs_000	učitel v oboru obchod a marketing na odborné škole/učitelka v oboru obchod a marketing na odborné škole
C002464_cs_001	učitel v oboru obchod a marketing
C002464_cs_002	učitel v oboru obchod a marketing na odborné škole
C002464_cs_003	učitelka v oboru obchod a marketing
C002464_cs_004	učitelka v oboru obchod a marketing na odborné škole
C002465_cs_000	vysokoškolský učitel literatury/vysokoškolská učitelka literatury
C002465_cs_001	lektor literatury
C002465_cs_002	lektorka literatury
C002465_cs_003	profesor literatury
C002465_cs_004	profesorka literatury
C002465_cs_005	vysokoškolská učitelka literatury
C002465_cs_006	vysokoškolský učitel literatury
C002466_cs_000	kontrolor výstupní kvality motorových vozidel/kontrolorka výstupní kvality motorových vozidel
C002466_cs_001	kontrolor výstupní kvality motorových vozidel
C002466_cs_002	kontrolorka výstupní kvality motorových vozidel
C002467_cs_000	osobní pokladník železniční dopravy/osobní pokladní železniční dopravy
C002467_cs_001	osobní pokladní železniční dopravy
C002467_cs_002	osobní pokladník železniční dopravy
C002467_cs_003	prodavač jízdenek v železniční dopravě
C002467_cs_004	prodavačka jízdenek v železniční dopravě
C002468_cs_000	sociální pracovník v oblasti trestního práva/sociální pracovnice v oblasti trestního práva
C002468_cs_001	probační úřednice
C002468_cs_002	probační úředník
C002468_cs_003	sociální pracovnice v oblasti trestního práva
C002468_cs_004	sociální pracovnice ve vězeňství
C002468_cs_005	sociální pracovník v oblasti trestního práva
C002468_cs_006	sociální pracovník ve vězeňství
C002468_cs_007	úřednice Probační a mediační služby
C002468_cs_008	úředník Probační a mediační služby
C002469_cs_000	elektrotechnik/elektrotechnička
C002469_cs_001	elektrotechnik
C002469_cs_002	elektrotechnička
C002470_cs_000	operátor prodejních automatů/operátorka prodejních automatů
C002470_cs_001	operátor prodejních automatů
C002470_cs_002	operátorka prodejních automatů
C002471_cs_000	spisový manipulant/spisová manipulantka
C002471_cs_001	spisová manipulantka
C002471_cs_002	spisový manipulant
C002472_cs_000	kuchař pro přípravu pokrmů dietního stravování/kuchařka pro přípravu pokrmů dietního stravování
C002472_cs_001	kuchař pro přípravu pokrmů dietního stravování
C002472_cs_002	kuchařka pro přípravu pokrmů dietního stravování
C002473_cs_000	osvětlovač/osvětlovačka
C002473_cs_001	osvětlovač
C002473_cs_002	osvětlovačka
C002473_cs_003	technik osvětlování
C002473_cs_004	technička osvětlování
C002474_cs_000	pracovník/pracovnice čističky tuků
C002474_cs_001	obsluha čističky tuků
C002474_cs_002	pracovnice čističky tuků
C002474_cs_003	pracovník čističky tuků
C002475_cs_000	operátor/operátorka zpracování mléčných výrobků
C002475_cs_001	operátor zpracování mléčných výrobků
C002475_cs_002	operátorka zpracování mléčných výrobků
C002475_cs_003	pracovnice mlékárny
C002475_cs_004	pracovník mlékárny
C002476_cs_000	model/modelka
C002476_cs_001	model
C002476_cs_002	modelka
C002477_cs_000	specialista katastru nemovitostí/specialistka katastru nemovitostí
C002477_cs_001	specialista katastru nemovitostí
C002477_cs_002	specialistka katastru nemovitostí
C002478_cs_000	pracovník turistické informační služby/pracovnice turistické informační služby
C002478_cs_001	pracovnice turistické informační služby
C002478_cs_002	pracovnice turistického informačního centra
C002478_cs_003	pracovník turistické informační služby
C002478_cs_004	pracovník turistického informačního centra
C002478_cs_005	turistická asistentka
C002478_cs_006	turistická recepční
C002478_cs_007	turistický asistent
C002478_cs_008	turistický recepční
C002479_cs_000	nákupčí dekorací
C002480_cs_000	školní inspektor/školní inspektorka
C002480_cs_001	školní inspektor
C002480_cs_002	školní inspektorka
C002481_cs_000	odborný lékař/odborná lékařka
C002481_cs_001	odborná lékařka
C002481_cs_002	odborný lékař
C002482_cs_000	prodavač/prodavačka
C002482_cs_001	prodavač
C002482_cs_002	prodavač v hypermarketu
C002482_cs_003	prodavač v prodejně
C002482_cs_004	prodavač v supermarketu
C002482_cs_005	prodavačka
C002482_cs_006	prodavačka v hypermarketu
C002482_cs_007	prodavačka v prodejně
C002482_cs_008	prodavačka v supermarketu
C002483_cs_000	vedoucí prodejny textilu
C002484_cs_000	armádní kapitán/armádní kapitánka
C002484_cs_001	armádní kapitán
C002484_cs_002	armádní kapitánka
C002484_cs_003	velitel roty
C002484_cs_004	velitelka roty
C002485_cs_000	hasič v námořní dopravě/hasička v námořní dopravě
C002485_cs_001	hasič v námořní dopravě
C002485_cs_002	hasička v námořní dopravě
C002486_cs_000	pracovník služeb podpory zdravotně postiženým/pracovnice služeb podpory zdravotně postiženým
C002486_cs_001	pracovnice služeb podpory zdravotně postiženým
C002486_cs_002	pracovník služeb podpory zdravotně postiženým
C002487_cs_000	výrobce kartáčů/výrobkyně kartáčů
C002487_cs_001	kartáčnice
C002487_cs_002	kartáčník
C002487_cs_003	výrobce kartáčů
C002487_cs_004	výrobkyně kartáčů
C002488_cs_000	pracovník výjezdové skupiny pultu centralizované ochrany/pracovnice výjezdové skupiny pultu centralizované ochrany
C002488_cs_001	pracovnice výjezdové skupiny pultu centralizované ochrany
C002488_cs_002	pracovník výjezdové skupiny pultu centralizované ochrany
C002489_cs_000	manažer pro zkušenosti zákazníků/manažerka pro zkušenosti zákazníků
C002489_cs_001	manažer pro vztahy se zákazníky
C002489_cs_002	manažer pro zkušenosti hostů
C002489_cs_003	manažer pro zkušenosti zákazníků
C002489_cs_004	manažerka pro vztahy se zákazníky
C002489_cs_005	manažerka pro zkušenosti hostů
C002489_cs_006	manažerka pro zkušenosti zákazníků
C002489_cs_007	úřednice pro vztahy se zákazníky
C002489_cs_008	úředník pro vztahy se zákazníky
C002490_cs_000	manželský poradce/manželská poradkyně
C002490_cs_001	manželská a rodinná poradkyně
C002490_cs_002	manželská poradkyně
C002490_cs_003	manželský a rodinný poradce
C002490_cs_004	manželský poradce
C002490_cs_005	poradce pro partnerské vztahy
C002490_cs_006	poradce pro rodinu, manželství a mezilidské vztahy
C002490_cs_007	poradkyně pro partnerské vztahy
C002490_cs_008	poradkyně pro rodinu, manželství a mezilidské vztahy
C002491_cs_000	báňský projektant/báňská projektantka
C002491_cs_001	báňská projektantka
C002491_cs_002	báňská technička
C002491_cs_003	báňský projektant
C002491_cs_004	báňský technik
C002491_cs_005	důlní technik
C002491_cs_006	důlní technička
C002492_cs_000	hlavní průvodčí
C002492_cs_001	vedoucí směny vlakové čety
C002492_cs_002	vedoucí týmu průvodčích
C002493_cs_000	vedoucí zákaznického centra
C002493_cs_001	vedoucí zákaznického servisu
C002494_cs_000	manažer výzkumu ICT / manažerka výzkumu ICT
C002494_cs_001	manažer technologických inovací
C002494_cs_002	manažer výzkumu ICT
C002494_cs_003	manažer výzkumu v IT oblasti
C002494_cs_004	manažerka technologických inovací
C002494_cs_005	manažerka výzkumu ICT
C002494_cs_006	manažerka výzkumu v IT oblasti
C002495_cs_000	pomocný lodní strojník/pomocná lodní strojnice
C002495_cs_001	pomocný lodník
C002496_cs_000	vedoucí provozu kanalizací
C002496_cs_001	manažer provozu kanalizací
C002496_cs_002	manažerka provozu kanalizací
C002497_cs_000	stavební dozor u demolic
C002498_cs_000	učitel designu a užitých umění na odborné škole/učitelka designu a užitých umění na odborné škole
C002498_cs_001	učitel designu a užitých umění na odborné škole
C002498_cs_002	učitel umění a designu
C002498_cs_003	učitel užitého umění a uměleckých řemesel
C002498_cs_004	učitelka designu a užitých umění na odborné škole
C002498_cs_005	učitelka umění a designu
C002498_cs_006	učitelka užitého umění a uměleckých řemesel
C002499_cs_000	koordinátor hospodářského rozvoje/koordinátorka hospodářského rozvoje
C002499_cs_001	koordinátor hospodářského rozvoje
C002499_cs_002	koordinátorka hospodářského rozvoje
C002500_cs_000	poradce v oblasti vztahů s veřejností/poradkyně v oblasti vztahů s veřejností
C002500_cs_001	PR konzultant
C002500_cs_002	PR konzultantka
C002500_cs_003	PR specialista
C002500_cs_004	PR specialistka
C002500_cs_005	lobbista
C002500_cs_006	lobbistka
C002500_cs_007	poradce v oblasti vztahů s veřejností
C002500_cs_008	poradkyně v oblasti vztahů s veřejností
C002501_cs_000	správce systémů ICT/správkyně systémů ICT
C002501_cs_001	administrátor systémů ICT
C002501_cs_002	administrátorka systémů ICT
C002501_cs_003	správce počítačových systémů
C002501_cs_004	správce počítačových sítí
C002501_cs_005	správce systémů ICT
C002501_cs_006	správkyně počítačových systémů
C002501_cs_007	správkyně počítačových sítí
C002501_cs_008	správkyně systémů ICT
C002502_cs_000	guvernér centrální banky/guvernérka centrální banky
C002502_cs_001	guvernér centrální banky
C002502_cs_002	guvernér národní banky
C002502_cs_003	guvernérka centrální banky
C002502_cs_004	guvernérka národní banky
C002503_cs_000	strojní inženýr v oblasti aerodynamiky/strojní inženýrka v oblasti aerodynamiky
C002503_cs_001	strojní inženýr v oblasti aerodynamiky
C002503_cs_002	strojní inženýrka v oblasti aerodynamiky
C002504_cs_000	školitel v oblasti ICT / školitelka v oblasti ICT
