C000001_no_000	Militære yrker og uoppgitt
C002082_no_010	sjef, forhandler av økologisk frukt og grønt
C002082_no_011	sjef, forhandler av økologiske grønnsaker
C002082_no_012	sjef, fruktbutikk
C002082_no_013	sjef, grønnsaksbutikk
C002083_no_000	hjelpelærer i videregående skole
C002083_no_001	assistent, videregående skole
C002083_no_002	lærerassistent, videregående skole
C002083_no_003	skoleassistent, videregående skole
C002083_no_004	undervisningsassistent, videregående skole
C002084_no_000	servicetekniker, VVS-anlegg
C002084_no_001	VVS-montør
C002084_no_002	luftkondisjonerings- og kjøletekniker
C002084_no_003	luftkondisjoneringstekniker
C002084_no_004	montør, klimaanlegg
C002084_no_005	serviceingeniør, oppvarming, ventilasjon og luftkondisjonering
C002084_no_006	varmemontør
C002084_no_007	varmepumpemontør
C002084_no_008	ventilasjons- og luftkondisjoneringstekniker
C002085_no_000	reisebyråmedarbeider
C002085_no_001	bookingassistent, reisebyrå
C002085_no_002	salgsmedarbeider, reisebyrå
C002086_no_000	verktøyingeniør
C002087_no_000	lisenssjef
C002087_no_001	lisensansvarlig
C002088_no_000	maskinoperatør, tunnelboring
C002088_no_001	TBM-operatør
C002088_no_002	maskinoperatør, tunneldriving
C002088_no_003	operatør, tunnelboremaskin
C002088_no_004	operatør, tunneldrivingsutstyr
C002088_no_005	tunnelarbeider
C002089_no_000	rekvisittmaker
C002090_no_000	sikkerhetssjef for lotteri- og spillvirksomhet
C002090_no_001	compliance- og IT-sikkerhetsansvarlig, lotteri og spillvirksomhet
C002090_no_002	compliance- og IT-sikkerhetssjef, lotteri og spillvirksomhet
C002090_no_003	complianceansvarlig, lotteri- og spillvirksomhet
C002091_no_000	resirkuleringsspesialist
C002092_no_000	risikoanalytiker
C002093_no_000	sveiser
C002093_no_001	elektrosveiser
C002093_no_002	gassveiser
C002093_no_003	konstruksjonssveiser
C002093_no_004	sveiser, autogensveising
C002093_no_005	sveiser, bil
C002093_no_006	sveiser, kjeler
C002093_no_007	sveiser, luftfartøy
C002093_no_008	sveiser, skip
C002093_no_009	sveiser, stål
C002093_no_010	undervannssveiser
C002094_no_000	tekniker, grunnvannsovervåking
C002095_no_000	skiftleder ved raffineri
C002096_no_000	sjefstekniker
C002096_no_001	IT-direktør
C002096_no_002	IT-sjef
C002096_no_003	teknologidirektør
C002097_no_000	koordinator for idrettsprogram
C002098_no_000	apotektekniker
C002099_no_000	lovtekstskriver
C002100_no_000	tekniker, respirasjonsterapi
C002101_no_000	planleggingsingeniør, gruvedrift
C002102_no_000	ingeniør, gassdistribusjon
C002103_no_000	risikoanalytiker, forsikring
C002104_no_000	videokunstner
C002105_no_000	kvalitetstekniker, lærvarer
C002106_no_000	farmasøyt
C002107_no_000	arbeidsleder for veibygging
C002108_no_000	ingeniør, rullende materiell
C002109_no_000	pumpeoperatør
C002109_no_001	brannkonstabel
C002109_no_002	brannkvinne
C002109_no_003	brannmann
C002109_no_004	brannpumpeoperatør
C002110_no_000	undervisningsmedarbeider i dyrehage
C002110_no_001	guide, dyrehage
C002111_no_000	kontrollromoperatør, gruvedrift
C002111_no_001	prosessoperatør, gruvedrift
C002111_no_002	prosessovervåker, gruvedrift
C002112_no_000	hanskesyer
C002112_no_001	hanskemaker
C002112_no_002	hansketilvirker
C002113_no_000	rengjører av kjøretøyer
C002113_no_001	bilklargjører
C002113_no_002	bilpleier
C002113_no_003	bilvasker
C002114_no_000	mølleoperatør, brenneri
C002114_no_001	kornkvernoperatør, brenneri
C002115_no_000	operatør av elektrisitetssystem
C002116_no_000	medarbeider på dyremottak
C002116_no_001	assistent, dyremottak
C002116_no_002	dyremottaksarbeider
C002116_no_003	medarbeider, dyremottak
C002117_no_000	røntgentekniker
C002118_no_000	rekvisittleder
C002119_no_000	industrisyer
C002119_no_001	syer
C002119_no_002	symaskinoperatør
C002119_no_003	sømoperatør
C002120_no_000	flymekaniker, ettersyn av gassturbinmotorer
C002120_no_001	installasjonstekniker, gassturbinmotorer
C002120_no_002	mekaniker, flymotorer
C002120_no_003	reparatør, gassturbinmotorer
C002120_no_004	vedlikeholdstekniker, gassturbinmotorer
C002121_no_000	leder for tolkebyrå
C002121_no_001	sjef, tolketjeneste
C002121_no_002	tolkebyråsjef
C002122_no_000	næringsmiddelinspektør
C002123_no_000	operatør av dreiebenk for metallbearbeiding
C002123_no_001	dreiebenkoperatør
C002123_no_002	maskinoperatør, dreiing av bremsetromler
C002123_no_003	verktøyinnstiller, dreiebenk
C002124_no_000	maskinoperatør, lærbehandling
C002124_no_001	maskinoperatør, sluttbehandling av lær
C002125_no_000	import-/eksportsjef innen datamaskiner, datatilbehør og programvare
C002125_no_001	ansvarlig, internasjonal handel, datamaskiner, datatilbehør og programvare
C002125_no_002	eksportsjef, datamaskiner, datatilbehør og programvare
C002125_no_003	importsjef, datamaskiner, datatilbehør og programvare
C002125_no_004	tollansvarlig, datamaskiner, datatilbehør og programvare
C002126_no_000	løgndetektoranalytiker
C002127_no_000	dyrepsykolog
C002128_no_000	arbeidsleder, metallindustri
C002129_no_000	maskintekniker, filtrering av drikke
C002129_no_001	maskinoperatør, filtrering av drikkevarer
C002130_no_000	komponist
C002131_no_000	universitetslærer i psykologi
C002132_no_000	varehussjef
C002132_no_001	daglig leder, varehus
C002133_no_000	maskinoperatør, treboring
C002133_no_001	maskinarbeider, boring i tre
C002133_no_002	operatør, treboremaskin
C002133_no_003	treborer
C002134_no_000	sjefsdørvakt
C002134_no_001	dørvakt, bar
C002134_no_002	dørvakt, diskotek
C002134_no_003	dørvakt, nattklubb
C002134_no_004	utkaster
C002135_no_000	kjøttbearbeider
C002135_no_001	medarbeider, bearbeiding av kjøtt
C002135_no_002	slakterimedarbeider
C002136_no_000	eiendomsinvestor
C002137_no_000	montør av treprodukter
C002137_no_001	produksjonsmedarbeider, dører
C002137_no_002	produksjonsmedarbeider, skap
C002137_no_003	produksjonsmedarbeider, treprodukter
C002137_no_004	sammenstiller, treprodukter
C002137_no_005	trappemontør
C002137_no_006	trappesammenstiller
C002137_no_007	trevarebygger
C002137_no_008	vindusmontør
C002137_no_009	vindussammenstiller
C002138_no_000	postbud
C002139_no_000	vannkrafttekniker
C002140_no_000	butikksjef, musikk og film
C002140_no_001	daglig leder, forhandler av musikk og film
C002140_no_002	daglig leder, instrumentbutikk
C002140_no_003	daglig leder, musikkbutikk
C002140_no_004	daglig leder, notebutikk
C002140_no_005	instrumentbutikksjef
C002140_no_006	musikkbutikksjef
C002141_no_000	programdirektør
C002142_no_000	ingeniør, mikrosystem
C002143_no_000	fysiker
C002144_no_000	plasshenviser
C002144_no_001	plassanviser
C002144_no_002	rettsbetjent
C002145_no_000	maskinoperatør, symaskin for trådhefting
C002145_no_001	heftemaskinoperatør
C002145_no_002	maskinarbeider, symaskin for trådhefting
C002146_no_000	flyanviser
C002146_no_001	innvinker
C002147_no_000	tekniker ved vannverk
C002148_no_000	operatør av dyptrykker
C002148_no_001	dyptrykker
C002148_no_002	maskinoperatør, dyptrykking
C002148_no_003	maskinoperatør, rotogravyr
C002148_no_004	operatør, dyptrykkmaskin
C002149_no_000	grossist innen kontormaskiner og -utstyr
C002150_no_000	distribusjonssjef innen huder, skinn og lærprodukter
C002150_no_001	distribusjonssjef, huder, skinn og lærprodukter
C002150_no_002	forsyningsleder, huder, skinn og lærprodukter
C002150_no_003	forsyningsplanlegger, huder, skinn og lærprodukter
C002150_no_004	logistikkplanlegger, huder, skinn og lærprodukter
C002150_no_005	logistikksjef, huder, skinn og lærprodukter
C002151_no_000	talepedagog
C002152_no_000	grossist innen klokker og smykker
C002153_no_000	gravør
C002154_no_000	akvakulturtekniker med spesialfelt innen akvakulturoppdrett
C002154_no_001	fiskeoppdretter
C002154_no_002	tekniker, akvakulturavl
C002154_no_003	tekniker, fiskeavl
C002155_no_000	maskinoperatør, tørking av matvarer
C002155_no_001	tørkeoperatør, næringsmidler
C002156_no_000	fjørfesorterer
C002156_no_001	kjønnsbestemmer
C002156_no_002	kjønnsbestemmer, fjærfe
C002156_no_003	kjønnsbestemmer, kalkun
C002156_no_004	kjønnstester, fjærfe
C002157_no_000	annenflyger
C002158_no_000	proberer
C002159_no_000	logistikkoperatør
C002159_no_001	godsoperatør i lagerarbeid
C002160_no_000	import-/eksportspesialist innen levende dyr
C002161_no_000	behandler innen tradisjonell kinesisk medisin
C002162_no_000	motorkontrollør, rullende materiell
C002163_no_000	økonomilærer i videregående skole
C002164_no_000	naturvernkonsulent
C002165_no_000	innkjøpssjef, lærråvarer
C002165_no_001	innkjøpssjef, huder og skinn
C002166_no_000	kunstlærer i videregående skole
C002167_no_000	spesialisert selger, klokker og smykker
C002167_no_001	selger, diamanter
C002167_no_002	selger, diamanter og edelmetallsmykker
C002167_no_003	selger, luksusklokker og diamantsmykker
C002167_no_004	selger, luksusklokker, diamanter og smykker
C002167_no_005	selger, smykker
C002167_no_006	selger, smykker og klokker
C002167_no_007	spesialisert selger, diamanter
C002167_no_008	spesialisert selger, diamanter og edelmetallsmykker
C002167_no_009	spesialisert selger, luksusklokker og diamantsmykker
C002167_no_010	spesialisert selger, smykker
C002168_no_000	sjef for IKT-informasjon og -kunnskap
C002168_no_001	IKT-informasjonssjef
C002168_no_002	IKT-kunnskapssjef
C002168_no_003	IT-informasjonssjef
C002168_no_004	IT-kunnskapssjef
C002168_no_005	sjef, IT-informasjon og -kunnskap
C002169_no_000	hydraulikkingeniør
C002170_no_000	skiinstruktør
C002171_no_000	kunnskapsingeniør
C002172_no_000	omsorgsarbeider i sosialbolig
C002173_no_000	butikksjef innen kjøkken og bad
C002173_no_001	daglig leder, forhandler av kjøkken og bad
C002173_no_002	sjef, baderomsforhandler
C002173_no_003	sjef, kjøkkenforhandler
C002174_no_000	IKT-nettverksadministrator
C002175_no_000	maskinoperatør ved melkemottak
C002175_no_001	medarbeider, melkemottak
C002175_no_002	meieriarbeider, mottak av melk
C002175_no_003	melkeoperatør
C002176_no_000	flyvedlikeholdsingeniør
C002177_no_000	leder av kjemisk anlegg
C002177_no_001	anleggssjef, kjemisk industri
C002177_no_002	daglig leder, kjemisk produksjonsanlegg
C002177_no_003	direktør, kjemisk anlegg
C002177_no_004	driftsbestyrer, kjemisk anlegg
C002177_no_005	produksjonssjef, kjemisk industri
C002177_no_006	sjef, kjemisk prosessanlegg
C002178_no_000	lokfører
C002178_no_001	lokomotivfører
C002178_no_002	t-banefører
C002178_no_003	togfører
C002179_no_000	yrkesfaglærer
C002180_no_000	maskinoperatør, blanding av gjødsel
C002180_no_001	produksjonsmedarbeider, gjødsel
C002181_no_000	resepsjonist på overnattingssted
C002181_no_001	hotellresepsjonist
C002181_no_002	resepsjonsmedarbeider, hotell
C002182_no_000	vedlikeholdstekniker, flyplass
C002183_no_000	logistikk- og distribusjonssjef
C002183_no_001	distribusjons- og logistikksjef
C002183_no_002	distribusjonskoordinator
C002183_no_003	forsyningsleder
C002183_no_004	logistikk- og distribusjonsdirektør
C002183_no_005	logistikkdirektør
C002183_no_006	logistikkoordinator
C002183_no_007	logistikksjef
C002184_no_000	arbeidsleder for terrazzoflislegging
C002185_no_000	leder av sportsfasiliteter
C002185_no_001	sjef, badeanlegg
C002185_no_002	sjef, idrettsarena
C002185_no_003	sjef, idrettshall
C002185_no_004	sjef, treningssenter
C002185_no_005	stadionsjef
C002186_no_000	spesialisert selger innen spill og leker
C002186_no_001	selger, lekebutikk
C002186_no_002	selger, leker
C002186_no_003	selger, modeller og samleobjekter
C002186_no_004	selger, modeller og spill
C002186_no_005	selger, spill
C002186_no_006	selger, spill og leker
C002186_no_007	spesialisert selger, lekebutikk
C002186_no_008	spesialisert selger, leker
C002186_no_009	spesialisert selger, modeller og samleobjekter
C002186_no_010	spesialisert selger, modeller og spill
C002186_no_011	spesialisert selger, spill
C002187_no_000	yrkesfaglærer i pleie og omsorg
C002188_no_000	ergoterapiassistent
C002189_no_000	spesialist innen ikke-destruktiv testing
C002189_no_001	tekniker, ikke-destruktiv prøving
C002190_no_000	hårstylist
C002190_no_001	hår- og parykkstylist
C002190_no_002	hår- og parykkunstner
C002190_no_003	hårkunstner
C002190_no_004	hårstylist og sminkør
C002191_no_000	paleontolog
C002192_no_000	gitarbygger
C002192_no_001	gitarmaker
C002193_no_000	informasjonsdirektør
C002193_no_001	informasjonssjef
C002194_no_000	valgkampsleder
C002195_no_000	arbeidsleder, elektronikk
C002196_no_000	kjørelærer, bil
C002196_no_001	kjøreskolelærer, bil
C002196_no_002	trafikklærer, bil
C002197_no_000	sjef for oversettelsesbyrå
C002197_no_001	leder, oversettelsesbyrå
C002197_no_002	sjef, oversettelsestjenester
C002198_no_000	verktøysliper
C002198_no_001	CNC-operatør, verktøysliping
C002198_no_002	operatør, sliping av presisjonsverktøy
C002198_no_003	operatør, verktøyslipemaskin
C002198_no_004	slipemaskinoperatør, verktøy
C002198_no_005	sliper, skjæreverktøy og annet verktøy
C002199_no_000	kontraktingeniør
C002200_no_000	motormann
C002200_no_001	besetningsmedlem, kanalbåt
C002200_no_002	maskinpasser
C002200_no_003	maskinpasser, kanalbåt
C002201_no_000	montør av rullende materiell
C002201_no_001	jernbanevognbygger
C002201_no_002	lokomotivbygger
C002201_no_003	montør, jernbanevogner
C002201_no_004	montør, lokomotiver
C002201_no_005	vognmontør
C002202_no_000	import-/eksportspesialist innen datamaskiner, datatilbehør og programvare
C002203_no_000	familieplanleggingsrådgiver
C002204_no_000	medarbeider ved fiskeproduksjon
C002204_no_001	produksjonsmedarbeider, fiskeindustri
C002205_no_000	nyhetsanker
C002206_no_000	motorinspektør, rullende materiell
C002207_no_000	portvakt
C002207_no_001	resepsjonsvakt
C002208_no_000	ekspert på vanndyrhelse
C002209_no_000	kostnadsanalytiker
C002210_no_000	arrangementassistent
C002211_no_000	CAD-tekniker, klær
C002212_no_000	jordanalysetekniker
C002213_no_000	kjæledyrpasser
C002213_no_001	dyrepasser
C002213_no_002	hundelufter
C002213_no_003	hundepasser
C002213_no_004	kattepasser
C002214_no_000	maskinoperatør, plastmøbler
C002214_no_001	maskinarbeider, plastmøbler
C002214_no_002	plastmøbelsammenstiller
C002214_no_003	produksjonsmedarbeider, plastmøbler
C002215_no_000	ansvarlig for bearbeidede kjøttprodukter
C002215_no_001	maskinoperatør, kjøttindustri
C002215_no_002	operatør, bearbeiding av kjøtt
C002215_no_003	produksjonsmedarbeider, kjøttvarer
C002216_no_000	import-/eksportsjef innen gruve-, bygg- og anleggsmaskiner
C002216_no_001	ansvarlig, internasjonal handel, gruve-, bygg- og anleggsmaskiner
C002216_no_002	eksportsjef, gruve-, bygg- og anleggsmaskiner
C002216_no_003	importsjef gruve-, bygg- og anleggsmaskiner
C002216_no_004	tollansvarlig, gruve-, bygg- og anleggsmaskiner
C002217_no_000	stuntmann
C002218_no_000	skattefunksjonær
C002218_no_001	medarbeider, skatt
C002219_no_000	salgsingeniør
C002220_no_000	utdanningsoffiser i forsvaret
C002221_no_000	sosionom
C002221_no_001	saksbehandler for hjemmebaserte tjenester
C002222_no_000	direktør for begravelsesbyrå
C002222_no_001	daglig leder, begravelsesbyrå
C002222_no_002	sjef, begravelsestjenester
C002222_no_003	sjef, gravferdstjenester
C002222_no_004	sjef, gravlund
C002222_no_005	sjef, krematorium
C002223_no_000	tekstilteknolog
C002224_no_000	kvalitetskontrollør, tekstilproduksjon
C002224_no_001	produkttester, tekstiler
C002225_no_000	smakskontrollør
C002226_no_000	maskinoperatør, avgrading
C002226_no_001	maskinoperatør, avgrading og bearbeiding
C002226_no_002	operatør, avgrader
C002226_no_003	operatør, avgradingsmaskin
C002226_no_004	operatør, verktøymaskin
C002227_no_000	leder, sagbruk
C002227_no_001	operatør, sagbruk
C002227_no_002	operatør, sagemaskin
C002227_no_003	operatør, trelast
C002228_no_000	brukergrensesnittutvikler
C002229_no_000	operatør, automatisk samlebånd
C002230_no_000	mineralog
C002231_no_000	borearbeider
C002231_no_001	dekksarbeider
C002232_no_000	spesialist i krigføring
C002232_no_001	forsvarsanalytiker
C002232_no_002	forsvarsspesialist
C002232_no_003	operatør, elektronisk krigføring
C002232_no_004	overvåkningsoperatør
C002232_no_005	spesialist, elektronisk krigføring
C002233_no_000	ingeniør, elektro
C002234_no_000	maskinoperatør, betongproduksjon
C002234_no_001	betongindustriarbeider
C002234_no_002	maskinoperatør, betongrør
C002234_no_003	maskinoperatør, prefabrikerte betongelementer
C002234_no_004	produksjonsmedarbeider, støpte betongprodukter
C002234_no_005	sementarbeider
C002235_no_000	fjellguide
C002236_no_000	spesialisert selger, husholdningsapparater
C002236_no_001	selger, elektriske apparater
C002236_no_002	selger, elektriske husholdningsapparater
C002236_no_003	selger, elektriske husholdningsprodukter
C002236_no_004	selger, forhandler av elektriske apparater
C002236_no_005	selger, forhandler av husholdningsapparater
C002236_no_006	selger, husholdningsapparater
C002236_no_007	spesialisert selger, elektriske apparater
C002236_no_008	spesialisert selger, elektriske husholdningsapparater
C002236_no_009	spesialisert selger, elektriske husholdningsprodukter
C002236_no_010	spesialisert selger, forhandler av elektriske apparater
C002236_no_011	spesialisert selger, forhandler av husholdningsapparater
C002237_no_000	distribusjonssjef innen kjemiske produkter
C002237_no_001	distribusjonsplanlegger, kjemiske produkter
C002237_no_002	forsyningsleder, kjemiske produkter
