C000001_en_000	Armed forces occupations
C002153_en_008	senior diagnostic radiographer
C002153_en_009	specialist diagnostic radiographer
C002154_en_000	head of workshop
C002154_en_001	deputy workshop manager
C002154_en_002	deputy workshop supervisor
C002154_en_003	head of scenic workshop
C002154_en_004	head of set workshop
C002154_en_005	scenic workshop manager
C002154_en_006	stage workshop supervisor
C002154_en_007	theater crafstmanship coordinator
C002154_en_008	theatre craftsmanship coordinator
C002154_en_009	workshop coordinator
C002155_en_000	sewing machine operator
C002155_en_001	bartack machinist
C002155_en_002	clothing machinist
C002155_en_003	computer stitcher
C002155_en_004	custom sewer
C002155_en_005	edging machine operator
C002155_en_006	fastener sewing machine operator
C002155_en_007	flat sewing machine operator
C002155_en_008	garment maker
C002155_en_009	hook and eye machine operator
C002155_en_010	joiner
C002155_en_011	pleating machine operator
C002155_en_012	serger machine operator
C002155_en_013	sewing machine tender
C002155_en_014	stitching machinist
C002156_en_000	aircraft gas turbine engine overhaul technician
C002156_en_001	aeroplane engine mechanic
C002156_en_002	aeroplane gas turbine engine maintenance technician
C002156_en_003	aeroplane gas turbine engine repair technician
C002156_en_004	aircraft gas turbine engine installation technician
C002156_en_005	aircraft gas turbine engine maintenance technician
C002156_en_006	aircraft gas turbine engine repair technician
C002156_en_007	aviation gas turbine engine maintenance technician
C002156_en_008	aviation gas turbine engine repair technician
C002157_en_000	interpretation agency manager
C002157_en_001	interpretation agency director
C002157_en_002	interpretation agency supervisor
C002157_en_003	language interpretation agency director
C002157_en_004	language interpretation agency manager
C002157_en_005	language interpretation agency supervisor
C002157_en_006	language interpretation service manager
C002157_en_007	language interpreter
C002157_en_008	language translation agency director
C002157_en_009	language translation agency manager
C002157_en_010	language translation agency supervisor
C002157_en_011	language translation service manager
C002157_en_012	language translator
C002157_en_013	translation agency manager
C002157_en_014	translation service manager
C002158_en_000	food safety inspector
C002158_en_001	food quality inspector
C002158_en_002	food safety officer
C002158_en_003	quality controller
C002158_en_004	quality inspector
C002159_en_000	metalworking lathe operator
C002159_en_001	brake drum operator
C002159_en_002	lathe scalper operator
C002159_en_003	metal spinning operator
C002159_en_004	metal working lathe operator
C002159_en_005	spinning lathe operator
C002159_en_006	tool lathe
C002159_en_007	tool lathe setter
C002160_en_000	leather finishing operator
C002160_en_001	finisher
C002160_en_002	finishing machinist
C002160_en_003	finishing operators
C002160_en_004	finishing range operator
C002160_en_005	leather embossing machine operator
C002160_en_006	leather finishing coating machine operator
C002160_en_007	milling drum operator
C002160_en_008	plating machine operator
C002160_en_009	spray booth operator
C002161_en_000	import export manager in computers, computer peripheral equipment and software
C002161_en_001	assistant export manager in computers, computer peripheral equipment and software
C002161_en_002	assistant import export manager in computers, computer peripheral equipment and software
C002161_en_003	assistant import manager in computers, computer peripheral equipment and software
C002161_en_004	customs compliance manager in computers, computer peripheral equipment and software
C002161_en_005	graduate export manager in computers, computer peripheral equipment and software
C002161_en_006	graduate import export manager in computers, computer peripheral equipment and software
C002161_en_007	graduate import manager in computers, computer peripheral equipment and software
C002161_en_008	international trade compliance manager in computers, computer peripheral equipment and software
C002161_en_009	international trade manager in computers, computer peripheral equipment and software
C002161_en_010	senior export manager in computers, computer peripheral equipment and software
C002161_en_011	senior import export manager in computers, computer peripheral equipment and software
C002161_en_012	senior import manager in computers, computer peripheral equipment and software
C002161_en_013	trainee export manager in computers, computer peripheral equipment and software
C002161_en_014	trainee import export manager in computers, computer peripheral equipment and software
C002161_en_015	trainee import manager in computers, computer peripheral equipment and software
C002162_en_000	polygraph examiner
C002162_en_001	lie detector examiner
C002162_en_002	lie detector operator
C002162_en_003	polygraph instructor
C002162_en_004	polygraph operator
C002162_en_005	polygraph technician
C002162_en_006	polygraphist
C002162_en_007	signals analyst
C002163_en_000	animal behaviourist
C002163_en_001	animal behavior expert
C002163_en_002	animal behavior specialist
C002163_en_003	animal behavior therapist
C002163_en_004	animal behaviorist
C002163_en_005	animal behaviorists
C002163_en_006	animal behaviour expert
C002163_en_007	animal behaviour specialist
C002163_en_008	animal behaviour therapist
C002163_en_009	ethologist
C002164_en_000	metal production supervisor
C002164_en_001	mechanical operations supervisor
C002164_en_002	mechanical supervisor
C002164_en_003	melter manager
C002164_en_004	melter supervisor
C002164_en_005	metal fabricating manager
C002164_en_006	metal fabricating supervisor
C002164_en_007	metal fabrication manager
C002164_en_008	metal fabrication supervisor
C002164_en_009	metal production overseer
C002164_en_010	metal production superintendent
C002164_en_011	metal-production superintendent
C002165_en_000	beverage filtration technician
C002165_en_001	beverage filtration expert
C002165_en_002	beverage filtration worker
C002165_en_003	drink filter operator
C002165_en_004	drinks filtration worker
C002166_en_000	composer
C002166_en_001	computer composer
C002166_en_002	electro musician
C002166_en_003	electronic music producer
C002166_en_004	film music composer
C002166_en_005	jingle writer
C002166_en_006	music composer
C002166_en_007	music composer & producer
C002166_en_008	music composer and producer
C002166_en_009	music producer
C002166_en_010	music producer & composer
C002166_en_011	music producer and composer
C002166_en_012	singer-songwriter
C002166_en_013	songwriter
C002166_en_014	sound track composer
C002166_en_015	theater music composer
C002166_en_016	theatre music composer
C002167_en_000	psychology lecturer
C002167_en_001	higher education psychology teacher
C002167_en_002	instructor in psychology
C002167_en_003	lector in psychology
C002167_en_004	lecturer in psychology
C002167_en_005	lecturer of psychology
C002167_en_006	professor of psychology
C002167_en_007	psychology docent
C002167_en_008	psychology instructor
C002167_en_009	psychology lector
C002167_en_010	psychology professor
C002167_en_011	psychology teacher
C002167_en_012	senior lecturer in psychology
C002167_en_013	specialist lecturer in psychology
C002167_en_014	university lecturer in psychology
C002167_en_015	university psychology lecturer
C002168_en_000	department store manager
C002168_en_001	assistant department store manager
C002168_en_002	department shop manager
C002168_en_003	department store general merchandise manager
C002168_en_004	department store general store manager
C002168_en_005	general retail manager
C002168_en_006	graduate trainee department store manager
C002168_en_007	manager in department store
C002168_en_008	outlet store manager
C002168_en_009	retail sales manager
C002168_en_010	senior department store manager
C002168_en_011	trainee department store manager
C002169_en_000	wood boring machine operator
C002169_en_001	wood borer
C002169_en_002	wood boring machine operative
C002169_en_003	wood boring machine setter
C002169_en_004	wood boring machine specialist
C002169_en_005	wood boring machine technician
C002169_en_006	wood boring machine tender
C002169_en_007	wood boring machine worker
C002169_en_008	wood boring mill operator
C002169_en_009	wood boring mill specialist
C002169_en_010	wood boring mill technician
C002169_en_011	wood boring specialist
C002169_en_012	wood boring technician
C002169_en_013	wood boring worker
C002169_en_014	wood drilling machine operator
C002169_en_015	wood drilling machine specialist
C002169_en_016	wood drilling machine technician
C002170_en_000	door supervisor
C002170_en_001	bar doorman
C002170_en_002	bouncer
C002170_en_003	disco doorman
C002170_en_004	nightclub doorman
C002171_en_000	meat preparations operator
C002171_en_001	abbatoir worker
C002171_en_002	meat processing worker
C002171_en_003	meat worker
C002171_en_004	meatworker
C002172_en_000	real estate investor
C002172_en_001	investor in real estate
C002172_en_002	land entrepreneur
C002172_en_003	land investor
C002172_en_004	property entrepreneur
C002172_en_005	property investor
C002172_en_006	real estate entrepreneur
C002172_en_007	real estate entrepreneurs
C002172_en_008	real estate investing expert
C002173_en_000	wood products assembler
C002173_en_001	assembler, wood products
C002173_en_002	cabinet assembler
C002173_en_003	door assembler
C002173_en_004	stair assembler
C002173_en_005	staircase assembler
C002173_en_006	window assembler
C002173_en_007	windows assembler
C002173_en_008	wood products assembly worker
C002173_en_009	wood products builder
C002173_en_010	wood products constructor
C002173_en_011	wood products fabricator
C002173_en_012	wood products joiner
C002173_en_013	wood products maker
C002173_en_014	wood products production worker
C002174_en_000	postman/postwoman
C002174_en_001	bicycle messenger
C002174_en_002	bike courier
C002174_en_003	bike messenger
C002174_en_004	courier
C002174_en_005	delivery man
C002174_en_006	delivery woman
C002174_en_007	driver messenger
C002174_en_008	in house courier
C002174_en_009	in house messenger
C002174_en_010	mail carrier
C002174_en_011	mailman
C002174_en_012	mailwoman
C002174_en_013	motorcycle messenger
